PROVIDER$CODE_;PROVIDERPRICEDVALUECODE_;PRICEDATE;NAV_;CLOSE_;Nom
SIXTELEKURS;MA0000041139;10/05/2024;1516.24;;FCP ATTIJARI GOLD
SIXTELEKURS;MA0000040180;15/05/2024;197.41;;FCP OBLIDYNAMIC
SIXTELEKURS;MA0000040271;15/05/2024;201102.12;;FCP CAP MONETAIRE PREMIERE
SIXTELEKURS;MA0000040339;15/05/2024;229.76;;FCP ATTIJARI MONETAIRE JOUR
SIXTELEKURS;MA0000040388;15/05/2024;164.29;;FCP WG OBLIGATIONS
SIXTELEKURS;MA0000040388;07/03/2024;163.28;;FCP WG OBLIGATIONS
SDG;MA0000040271;22/05/2024;201239.75;201239.75;FCP CAP MONETAIRE PREMIERE
SIXTELEKURS;MA0000040388;01/03/2024;163.2;;FCP WG OBLIGATIONS
SIXTELEKURS;MA0000041139;01/03/2024;1318.93;;FCP ATTIJARI GOLD
SDG;MA0000030553;04/04/2024;5386.98;5386.98;SICAV ATTIJARI TRESORERIE
SDG;MA0000040180;04/04/2024;196.67;196.67;FCP OBLIDYNAMIC
SDG;MA0000036659;04/04/2024;1512.09;1512.09;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000041477;10/05/2024;940.2;;FCP ATTIJARI DIVIDEND FUND
SDG;MA0000030553;22/05/2024;5407.53;5407.53;SICAV ATTIJARI TRESORERIE
SDG;MA0000040180;22/05/2024;197.52;197.52;FCP OBLIDYNAMIC
SIXTELEKURS;MA0000041477;01/03/2024;925.45;;FCP ATTIJARI DIVIDEND FUND
SDG;MA0000030553;08/05/2024;5402.04;5402.04;SICAV ATTIJARI TRESORERIE
SDG;MA0000040180;08/05/2024;197.31;197.31;FCP OBLIDYNAMIC
SDG;MA0000040180;09/05/2024;197.33;197.33;FCP OBLIDYNAMIC
SDG;MA0000040271;09/05/2024;201031.92;201031.92;FCP CAP MONETAIRE PREMIERE
SDG;MA0000030553;09/05/2024;5402.38;5402.38;SICAV ATTIJARI TRESORERIE
SIXTELEKURS;MA0000036659;25/03/2024;1511.26;;FCP ATTIJARI LIQUIDITE
SDG;MA0000030520;26/04/2024;595.41;595.41;SICAV ATTIJARI DIVERSIFIE
