PROVIDER$CODE_;PROVIDERPRICEDVALUECODE_;PRICEDATE;NAV_;CLOSE_
SIXTELEKURS;MA0000041139;12/05/2017;792.28;
SIXTELEKURS;MA0000041139;19/05/2017;793.62;
SIXTELEKURS;MA0000041139;26/05/2017;802.46;
SIXTELEKURS;MA0000041139;02/06/2017;803.98;
SIXTELEKURS;MA0000041139;09/06/2017;803.01;
SIXTELEKURS;MA0000041139;16/06/2017;796.3;
SIXTELEKURS;MA0000041139;23/06/2017;796.12;
SIXTELEKURS;MA0000041139;30/06/2017;776.95;
SIXTELEKURS;MA0000041139;07/07/2017;760.89;
SIXTELEKURS;MA0000041139;14/07/2017;767.56;
SIXTELEKURS;MA0000041139;21/07/2017;771.49;
SIXTELEKURS;MA0000041139;28/07/2017;778.26;
SIXTELEKURS;MA0000041139;04/08/2017;769.04;
SIXTELEKURS;MA0000041139;11/08/2017;787.02;
SIXTELEKURS;MA0000041139;18/08/2017;795.99;
SIXTELEKURS;MA0000041139;25/08/2017;787.11;
SIXTELEKURS;MA0000040388;02/12/2016;147.62;
SIXTELEKURS;MA0000040388;09/12/2016;147.56;
SIXTELEKURS;MA0000040388;16/12/2016;147.65;
SIXTELEKURS;MA0000040388;23/12/2016;147.56;
SIXTELEKURS;MA0000040388;30/12/2016;147.66;
SIXTELEKURS;MA0000040388;06/01/2017;147.7;
SIXTELEKURS;MA0000040388;13/01/2017;147.6;
SIXTELEKURS;MA0000040388;20/01/2017;147.64;
SIXTELEKURS;MA0000040388;27/01/2017;147.66;
SIXTELEKURS;MA0000040388;03/02/2017;147.74;
SIXTELEKURS;MA0000040388;10/02/2017;147.85;
SIXTELEKURS;MA0000040388;17/02/2017;148.02;
SIXTELEKURS;MA0000040388;24/02/2017;148.26;
SIXTELEKURS;MA0000040388;03/03/2017;148.41;
SIXTELEKURS;MA0000040388;10/03/2017;148.53;
SIXTELEKURS;MA0000040388;17/03/2017;148.53;
SIXTELEKURS;MA0000040388;24/03/2017;148.67;
SIXTELEKURS;MA0000040388;31/03/2017;148.67;
SIXTELEKURS;MA0000040388;07/04/2017;148.75;
SIXTELEKURS;MA0000040388;14/04/2017;148.81;
SIXTELEKURS;MA0000040388;21/04/2017;148.88;
SIXTELEKURS;MA0000040388;28/04/2017;148.98;
SIXTELEKURS;MA0000040388;05/05/2017;149.1;
SIXTELEKURS;MA0000040388;12/05/2017;149.12;
SIXTELEKURS;MA0000040388;19/05/2017;149.27;
SIXTELEKURS;MA0000040388;26/05/2017;149.35;
SIXTELEKURS;MA0000040388;02/06/2017;149.42;
SIXTELEKURS;MA0000040388;09/06/2017;149.44;
SIXTELEKURS;MA0000040388;16/06/2017;149.52;
SIXTELEKURS;MA0000040388;23/06/2017;149.5;
SIXTELEKURS;MA0000040388;30/06/2017;149.56;
SIXTELEKURS;MA0000040388;07/07/2017;149.47;
SIXTELEKURS;MA0000040388;14/07/2017;149.53;
SIXTELEKURS;MA0000040388;21/07/2017;149.67;
SIXTELEKURS;MA0000040388;28/07/2017;149.73;
SIXTELEKURS;MA0000040388;04/08/2017;149.83;
SIXTELEKURS;MA0000040388;11/08/2017;149.94;
SIXTELEKURS;MA0000040388;18/08/2017;150;
SIXTELEKURS;MA0000040388;25/08/2017;150.06;
SIXTELEKURS;MA0000040156;02/12/2016;655.68;
SIXTELEKURS;MA0000040156;09/12/2016;669.66;
SIXTELEKURS;MA0000040156;16/12/2016;690.47;
SIXTELEKURS;MA0000040156;23/12/2016;729.47;
SIXTELEKURS;MA0000040156;30/12/2016;722.87;
SIXTELEKURS;MA0000040156;06/01/2017;776.41;
SIXTELEKURS;MA0000040156;13/01/2017;774.82;
SIXTELEKURS;MA0000040156;20/01/2017;771.55;
SIXTELEKURS;MA0000040156;27/01/2017;773.01;
SIXTELEKURS;MA0000040156;03/02/2017;758.04;
SIXTELEKURS;MA0000040156;10/02/2017;762.44;
SIXTELEKURS;MA0000040156;17/02/2017;758.37;
SIXTELEKURS;MA0000040156;24/02/2017;732.76;
SIXTELEKURS;MA0000040156;03/03/2017;749.25;
SIXTELEKURS;MA0000040156;10/03/2017;753.81;
SIXTELEKURS;MA0000040156;17/03/2017;761.53;
SIXTELEKURS;MA0000040156;24/03/2017;730.82;
SIXTELEKURS;MA0000040156;31/03/2017;727.57;
SIXTELEKURS;MA0000040156;07/04/2017;724.36;
SIXTELEKURS;MA0000040263;02/12/2016;1851.16;
SIXTELEKURS;MA0000040263;09/12/2016;1849.15;
SIXTELEKURS;MA0000040156;14/04/2017;720.92;
SIXTELEKURS;MA0000040156;21/04/2017;729.99;
SIXTELEKURS;MA0000040156;28/04/2017;743.04;
SIXTELEKURS;MA0000040156;05/05/2017;748.65;
SIXTELEKURS;MA0000040156;12/05/2017;755.9;
SIXTELEKURS;MA0000040156;19/05/2017;751.78;
SIXTELEKURS;MA0000040156;26/05/2017;754.19;
SIXTELEKURS;MA0000040156;02/06/2017;759.62;
SIXTELEKURS;MA0000040156;09/06/2017;762.34;
SIXTELEKURS;MA0000040156;16/06/2017;764.47;
SIXTELEKURS;MA0000040156;23/06/2017;773.71;
SIXTELEKURS;MA0000040156;30/06/2017;782.59;
SIXTELEKURS;MA0000040156;07/07/2017;811.61;
SIXTELEKURS;MA0000040156;14/07/2017;811.31;
SIXTELEKURS;MA0000040156;21/07/2017;794.54;
SIXTELEKURS;MA0000040156;28/07/2017;806.86;
SIXTELEKURS;MA0000040156;04/08/2017;794.99;
SIXTELEKURS;MA0000040156;11/08/2017;804.9;
SIXTELEKURS;MA0000040156;18/08/2017;810.06;
SIXTELEKURS;MA0000040156;25/08/2017;807.84;
SIXTELEKURS;MA0000040263;16/12/2016;1849.41;
SIXTELEKURS;MA0000040263;23/12/2016;1848.29;
SIXTELEKURS;MA0000040263;30/12/2016;1853.72;
SIXTELEKURS;MA0000040263;06/01/2017;1853.61;
SIXTELEKURS;MA0000040263;13/01/2017;1849.88;
SIXTELEKURS;MA0000040263;20/01/2017;1849.94;
SIXTELEKURS;MA0000040263;27/01/2017;1848.87;
SIXTELEKURS;MA0000040263;03/02/2017;1850.75;
SIXTELEKURS;MA0000040263;10/02/2017;1851.87;
SIXTELEKURS;MA0000040263;17/02/2017;1854.22;
SIXTELEKURS;MA0000040263;24/02/2017;1858.89;
SIXTELEKURS;MA0000040263;03/03/2017;1861.43;
SIXTELEKURS;MA0000040263;10/03/2017;1864.05;
SIXTELEKURS;MA0000040263;17/03/2017;1864.83;
SIXTELEKURS;MA0000040263;24/03/2017;1865.28;
SIXTELEKURS;MA0000040263;31/03/2017;1865.78;
SIXTELEKURS;MA0000040263;07/04/2017;1866.28;
SIXTELEKURS;MA0000040263;14/04/2017;1868.31;
SIXTELEKURS;MA0000040263;21/04/2017;1869.05;
SIXTELEKURS;MA0000040263;28/04/2017;1870.22;
SIXTELEKURS;MA0000040263;05/05/2017;1871.89;
SIXTELEKURS;MA0000040263;12/05/2017;1871.42;
SIXTELEKURS;MA0000040263;19/05/2017;1872.65;
SIXTELEKURS;MA0000040263;26/05/2017;1873.56;
SIXTELEKURS;MA0000040263;02/06/2017;1874.19;
SIXTELEKURS;MA0000040263;09/06/2017;1874;
SIXTELEKURS;MA0000040263;16/06/2017;1875.47;
SIXTELEKURS;MA0000040263;23/06/2017;1873.91;
SIXTELEKURS;MA0000040263;30/06/2017;1875.79;
SIXTELEKURS;MA0000040263;07/07/2017;1873.92;
SIXTELEKURS;MA0000040263;14/07/2017;1875.01;
SIXTELEKURS;MA0000040263;21/07/2017;1876.75;
SIXTELEKURS;MA0000040263;28/07/2017;1878.38;
SIXTELEKURS;MA0000040263;04/08/2017;1879.21;
SIXTELEKURS;MA0000040263;11/08/2017;1880.65;
SIXTELEKURS;MA0000040263;18/08/2017;1881.1;
SIXTELEKURS;MA0000040263;25/08/2017;1882.34;
SIXTELEKURS;MA0000040271;01/12/2016;169699.19;
SIXTELEKURS;MA0000040271;02/12/2016;169716.17;
SIXTELEKURS;MA0000040271;05/12/2016;169747.69;
SIXTELEKURS;MA0000040271;06/12/2016;169758.59;
SIXTELEKURS;MA0000040271;07/12/2016;169764.76;
SIXTELEKURS;MA0000040271;08/12/2016;169775.32;
SIXTELEKURS;MA0000040271;09/12/2016;169775.96;
SIXTELEKURS;MA0000040271;14/12/2016;169826.85;
SIXTELEKURS;MA0000040271;15/12/2016;169838.69;
SIXTELEKURS;MA0000040271;16/12/2016;169845.92;
SIXTELEKURS;MA0000040271;19/12/2016;169872.42;
SIXTELEKURS;MA0000040271;20/12/2016;169882.96;
SIXTELEKURS;MA0000040271;21/12/2016;169876.41;
SIXTELEKURS;MA0000040271;22/12/2016;169887.92;
SIXTELEKURS;MA0000040271;23/12/2016;169877.58;
SIXTELEKURS;MA0000040271;26/12/2016;169909.01;
SIXTELEKURS;MA0000040271;27/12/2016;169917.07;
SIXTELEKURS;MA0000040271;28/12/2016;169928.82;
SIXTELEKURS;MA0000040271;29/12/2016;169939.91;
SIXTELEKURS;MA0000040271;30/12/2016;169954.28;
SIXTELEKURS;MA0000040271;02/01/2017;169981.95;
SIXTELEKURS;MA0000040271;03/01/2017;169992.64;
SIXTELEKURS;MA0000040271;04/01/2017;169997.38;
SIXTELEKURS;MA0000040271;05/01/2017;170006.83;
SIXTELEKURS;MA0000040271;06/01/2017;170017.22;
SIXTELEKURS;MA0000040271;09/01/2017;170051.46;
SIXTELEKURS;MA0000040271;10/01/2017;170060.04;
SIXTELEKURS;MA0000040271;12/01/2017;170073.73;
SIXTELEKURS;MA0000040339;01/12/2016;205.36;
SIXTELEKURS;MA0000040339;02/12/2016;205.37;
SIXTELEKURS;MA0000040339;05/12/2016;205.39;
SIXTELEKURS;MA0000040339;06/12/2016;205.4;
SIXTELEKURS;MA0000040339;07/12/2016;205.4;
SIXTELEKURS;MA0000040339;08/12/2016;205.41;
SIXTELEKURS;MA0000040339;09/12/2016;205.42;
SIXTELEKURS;MA0000040339;14/12/2016;205.46;
SIXTELEKURS;MA0000040339;15/12/2016;205.47;
SIXTELEKURS;MA0000040339;16/12/2016;205.48;
SIXTELEKURS;MA0000040339;19/12/2016;205.5;
SIXTELEKURS;MA0000040180;01/12/2016;166.66;
